dwc:taxonID	dcterms:language	dwc:vernacularName
46VWN	eng	brooch clam
4PFFP	eng	Spengler's freshwater mussel
4PFFP	eng	giant European freshwater pearl mussel
3Y44H	eng	Louisiana pearlshell
3Y44D	eng	Western pearlshell
3Y44D	eng	western freshwater pearl mussel
3Y44Q	eng	Alabama pearlshell
3Y44N	eng	Eastern Pearlshell
3Y44N	eng	Scottish pearl mussel
3Y44N	eng	freshwater pearl mussel
5WFJ6	eng	rudder cardita
R626	eng	rectangular false cockle
R5VV	eng	large-ribbed cardita
32TNT	eng	New England cyclocardia
7J2M4	eng	North Pacific bobtail squid
7J2MG	eng	North Pacific bobtail squid
6HDV9	eng	southern bobtail squid
6HDVB	eng	Mimika bobtail
6HDVB	eng	Mimika bobtail squid
6HDVB	eng	globito mimika
6HDTC	eng	double-ear bobtail
6HDTC	eng	humming-bird bobtail squid
7R9WT	eng	Brenner’s bobtail
4TBNR	eng	lentil bobtail
4TBNR	eng	lentil bobtail squid
4WQS5	eng	elegant bobtail
4WQS5	eng	elegant bobtail squid
4WQS6	eng	mysterious bobtail squid
77NYP	eng	ramshorn
4WQS7	eng	common bobtail
4WQS7	eng	common bobtail squid
4WQS7	eng	greater cuttlefish
4WQSQ	eng	Atlantic bobtail
4WQSQ	eng	Atlantic bobtail squid
4WQSQ	eng	Atlantic cuttlefish
4WQSQ	eng	little cuttlefish
4WQSZ	eng	Intermediate bobtail squid
4WQSZ	eng	intermediate bobtail
4WQSP	eng	Analogous bobtail squid
4WQSP	eng	anagolous bobtail
4WQTC	eng	robust bobtail
4WQTC	eng	robust bobtail squid
4WQTD	eng	Rondelet's bobtail
4WQTD	eng	dwarf bobtail
4WQTD	eng	dwarf bobtail squid
4WQTH	eng	Steenstrup's bobtail
3FT2M	eng	obtuse awlsnail
RZMZ	eng	agate snail
RZMZ	eng	blind awlsnail
RZMZ	eng	blind snail
RZNC	eng	Gokwe pin snail
RZNH	eng	slender pin snail
39BVR	eng	Midas ear cassidula
6Q6MG	eng	two-toothed white snail
RHZ2	eng	herald snail
RHZ2	eng	herald thorn snail
RHZ2	eng	sedge snail
RHZ2	eng	short-toothed herald snail
RJ22	eng	dentate thorn snail
RJ22	eng	long-toothed herald snail
RJ22	eng	slender herald snail
4QXS5	eng	common pythia
69D7L	eng	cat's ear cassidula
69D7L	eng	cat's ear helmet snail
5XCW2	eng	banded mangrove ear snail
5XCW2	eng	banded mangrove helmet snail
5XCW2	eng	nucleus cassidula
455S3	eng	mouse-eared snail
3Z58N	eng	Florida melampus
3Z586	eng	coffee bean snail
8S39G	eng	sword of Venus
6B4NF	eng	Sea butterfly
357CK	eng	three-spine cavoline
RYCV	eng	three-tooth cavoline
RYCV	eng	threetoothed cavoline
RYCX	eng	hooked cavoline
RYCX	eng	uncinate cavoline
46QK7	eng	little flat-top snail
D2ZC	eng	shoal sprite
37N9N	eng	crested ramshorn
674XF	eng	whirlpool ram's horn snail
674XF	eng	whirlpool ramshorn snail
66SXG	eng	button ram's horn
66SXG	eng	white-lipped ram's horn snail
66SXG	eng	white-lipped ramshorn snail
6759F	eng	lesser whirlpool ram's horn snail
6759F	eng	lesser whirlpool ramshorn snail
6759F	eng	little whirlpool ram's-horn snail
4JKS8	eng	keeled ramshorn
77NYP	eng	common ramshorn
77NYP	eng	margined ramshorn
77NYP	eng	margined trumpet shell
77NYP	eng	ram's horn
5WDYR	eng	twisted ramshorn
8P5J8	eng	Nautilus ramshorn
8P5J8	eng	dwarf ramshorn
8P5J8	eng	star gyro
3HYFW	eng	white ramshorn
6L7H3	eng	Chinese ram's-horn snail
6L7H3	eng	Chinese ramshorn
3HYN9	eng	river ramshorn
3HYFR	eng	Thames ram's-horn snail
3HYM6	eng	ash gyro
3HYM6	eng	lesser ramshorn
3HYHP	eng	flexed gyro
4JKHZ	eng	great ramshorn
4JKHZ	eng	horn-colored ram's horn
4JKHZ	eng	trumpet shell
4MSP6	eng	umbilicate sprite
4MSP4	eng	sharp sprite
3ZQG3	eng	button sprite
3ZQFW	eng	bugle sprite
3ZQFW	eng	trumpet ramshorn
6VNYS	eng	thicklip ramshorn
4JL4F	eng	meadow ramshorn
LV34	eng	bloodfluke planorb
4JKLS	eng	marsh ram's horn snail
4JKLS	eng	marsh rams-horn
4JKLS	eng	marsh ramshorn
4JKL4	eng	Bellmouth ramshorn
4JKLR	eng	keeled ramshorn
4JKLM	eng	file ramshorn
4JKLL	eng	lamb ramshorn
4JKLJ	eng	fine-lined ramshorn
4JKLP	eng	rough ramshorn
4JKLG	eng	acorn ramshorn
4JKLN	eng	Mesa ramshorn
4JKLT	eng	druid ramshorn
4JKL9	eng	corpulent ramshorn
4JKL2	eng	coarse ramshorn
4JKKZ	eng	Jupiter ramshorn
4JKLC	eng	American ram's horn snail
4JKLC	eng	miniature ramshorn snail
4JKLC	eng	seminole rams-horn
3KD5D	eng	two-ridge rams-horn
75W7V	eng	New Mexico ramshorn snail
3LZB2	eng	flat ramshorn
6YB8P	eng	shining ramshorn snail
6YB8P	eng	shiny ram's horn
6YB8P	eng	the shining ram's-horn
76VTL	eng	flat ancylid
76VTP	eng	narrow freshwater limpet
6V862	eng	broad freshwater limpet
DPMC	eng	common river limpet
DPMC	eng	river limpet
4QQFL	eng	giant Atlantic pyram
735N6	eng	marionia
3BP4W	eng	painted balloon aeolis
3BP3W	eng	balloon aeolis
3BP3W	eng	dwarf balloon aeolis
55FK6	eng	Johnston's balloon eolis
7BR7L	eng	lagoon sea slug
7BR7L	eng	miniature aeolis
