ppn,maa2,jvu,titel,deeltitel,editie,impressum,epn,copy_counter,sgn,mms_id_item,item_policy,mms_id_holding,mms_id,kmc4821,kmc4850
036167835,Aa,1986,"@Op zoek naar mens en materiële cultuur : feestbundel aangeboden aan J.D. van der Waals ter gelegenheid van zijn emeritaat / onder red. van Harry Fokkens, Pieteke Banga en Mette Bierma",,,[S.l. : s.n.],064840875,1,MAF 374,23377514940007151,Reading room,22377514950007151,991007108749707151,,
036167835,Aa,1986,"@Op zoek naar mens en materiële cultuur : feestbundel aangeboden aan J.D. van der Waals ter gelegenheid van zijn emeritaat / onder red. van Harry Fokkens, Pieteke Banga en Mette Bierma",,,[S.l. : s.n.],098664166,2,ND 1986/60120,23377514960007151,Reading room,22377514970007151,991007108749707151,,
036210242,Aa,1987,@Opgegraven beschaving : de geschiedenis van de beschaving aan de hand van archeologische vondsten / Ruth Whitehouse en John Wilkins ; [vert. uit het Engels door M.W. Blok],,,Veenendaal : Gaade,098669524,1,5007552,23387835710007151,Reading room,22387835720007151,991007203259707151,,
036295191,Aa,1985,@Archeologische kroniek van Overijssel over 1982-1984 / A.D. Verlinde,,,[Amersfoort] : ROB,098677144,1,4000148,23406198280007151,Reading room,22406198290007151,991007338369707151,,
036295590,Aa,1985,@Archeologische kroniek van Holland over 1984 / Rijksdienst voor het Oudheidkundig Bodemonderzoek,,,[Amersfoort] : ROB,098677195,1,4000157,23387728490007151,Reading room,22387728500007151,991007339109707151,,
036328871,Aa,1986,De @Romeinse villa te Voerendaal : opgraving 1985 / W.J.H. Willems. Een opgraving gezien vanuit het perspectief van een botanicus / Laura Kooistra,,,[Amersfoort] : ROB,098679139,1,5000058,23359676890007151,Reading room,22359676900007151,991007380459707151,,
036329398,Aa,1986,@Steentijdvondsten op de Kauter in Nieuw-Namen / R.M. van Heeringen,,,[Amersfoort] : ROB,098679236,1,4000123,23364774420007151,Reading room,22364774430007151,991007381909707151,,
036330108,Aa,1986,@Voordrachten gehouden te Middelburg ter gelegenheid van het afscheid van Ir. J.A. Trimpe Burger als provinciaal archeoloog van Zeeland / red.: R.M. van Heeringen,,,Amersfoort : Rijksdienst voor het Oudheidkundig Bodemonderzoek,098679317,1,5000056,23408263040007151,Reading room,22408263050007151,991007383459707151,,
036330108,Aa,1986,@Voordrachten gehouden te Middelburg ter gelegenheid van het afscheid van Ir. J.A. Trimpe Burger als provinciaal archeoloog van Zeeland / red.: R.M. van Heeringen,,,Amersfoort : Rijksdienst voor het Oudheidkundig Bodemonderzoek,055624529,2,S 4514 3,23408263060007151,Reading room,22408263070007151,991007383459707151,,
036379999,Aa,1986,"@Merkwaardige prehistorische beenfragmenten, nogmaals bekeken / Th.J. Maarleveld en E.P. Pieper",,,[Leiden : Rijksmuseum van Oudheden],098685120,1,5000174,23408006430007151,Reading room,22408006440007151,991007497279707151,,
